# Atm transactions from machine 05
# format: account number, type, amount
9,d,167.37
11,w,29.56
15,d,92.00
14,d,145.91
5,d,118.55
4,d,73.59
19,w,192.29
13,w,152.65
16,w,52.84
9,d,141.26
10,d,139.98
1,w,143.12
1,w,110.90
7,d,62.92
10,d,89.11
12,d,87.57
13,d,88.95
19,d,48.93
17,d,143.93
2,w,123.77
8,w,88.40
7,d,149.14
2,w,189.51
15,w,102.21
7,d,32.77
20,d,174.97
19,w,205.58
19,w,88.95
20,d,225.92
18,w,44.37
11,d,147.74
13,d,70.88
10,w,57.12
15,w,43.15
9,w,93.76
20,d,50.89
4,w,66.91
9,d,21.57
15,w,125.41
20,w,74.05
3,d,28.78
11,w,179.16
6,d,127.37
15,d,132.60
14,w,113.89
11,d,103.45
10,d,79.67
12,d,94.95
5,d,72.02
9,d,146.36
9,w,161.68
3,d,72.77
9,d,63.44
13,w,143.93
4,d,126.79
14,w,11.45
14,d,168.03
4,w,88.37
3,w,144.58
5,d,34.19
11,d,150.83
19,d,111.37
18,d,33.88
7,d,51.03
5,d,86.22
5,w,122.07
9,w,149.98
15,d,59.01
15,w,123.16
12,w,143.34
8,d,124.17
8,w,88.58
20,d,90.75
3,d,161.60
13,w,46.93
19,w,93.85
17,w,137.92
18,w,33.06
20,d,97.55
15,w,123.32
5,w,75.73
2,d,87.95
6,w,108.85
18,d,88.63
4,d,61.92
13,d,232.38
20,w,139.58
14,d,97.06
5,w,190.25
8,d,-24.94
11,d,108.12
10,d,144.35
17,d,79.77
17,w,137.51
16,w,55.20
13,d,123.00
15,d,106.71
2,d,83.48
19,d,96.75
10,d,69.12
6,w,-1.33
10,d,82.73
18,w,47.85
17,w,99.42
14,d,109.23
9,d,166.14
2,w,123.76
7,w,90.18
17,d,153.17
9,d,145.04
10,d,41.82
15,w,60.55
5,d,65.72
15,w,-1.32
9,w,89.15
18,d,-20.08
19,w,191.18
14,w,37.40
7,w,135.16
19,w,145.89
6,d,128.63
6,w,58.74
4,d,210.15
5,d,145.81
4,d,38.05
13,d,118.16
10,d,85.29
2,d,111.55
17,d,90.19
7,w,86.96
7,w,134.44
2,w,121.21
11,d,98.68
17,w,61.81
3,d,167.97
12,d,99.54
11,w,82.18
13,w,112.62
7,d,76.90
17,d,140.30
16,w,91.44
14,d,168.89
14,d,141.70
3,d,124.89
18,d,103.75
3,w,61.07
3,d,63.26
3,w,80.98
13,d,10.23
1,d,140.56
6,d,83.07
13,w,25.68
3,d,100.46
9,w,137.16
1,d,138.46
14,w,86.35
15,d,94.32
19,w,157.83
1,w,148.87
16,d,40.06
16,d,54.46
19,w,87.54
4,d,105.29
20,w,154.69
17,w,41.14
18,d,159.39
6,w,77.36
16,d,38.88
7,w,166.35
14,w,144.17
7,d,157.97
12,w,102.83
10,w,36.61
17,w,105.30
20,w,120.52
6,w,121.29
7,d,89.06
9,d,91.95
8,w,112.03
7,w,109.44
13,w,68.62
5,w,120.70
14,w,25.71
11,d,39.93
1,d,156.13
10,w,159.76
6,w,201.99
3,w,85.90
19,w,175.37
6,d,135.19
9,d,126.95
15,w,88.43
7,w,93.69
12,d,62.74
20,w,176.99
10,w,156.25
6,d,63.31
12,d,80.37
14,d,105.40
7,w,134.22
2,w,143.75
17,w,168.33
11,w,61.43
12,d,-46.87
8,d,116.87
15,w,51.44
2,w,105.56
10,w,148.03
16,d,173.82
7,w,147.67
13,d,133.37
3,d,139.29
11,w,80.02
16,w,129.15
3,w,136.84
2,d,135.44
16,w,46.78
13,d,44.02
7,d,121.96
1,w,171.67
6,w,138.07
7,d,68.62
13,w,47.77
3,d,68.21
3,w,116.95
6,d,104.13
3,d,37.86
2,w,76.18
10,d,136.43
14,w,73.25
16,d,118.69
5,w,36.71
18,d,151.39
