# Atm transactions from machine 10
# format: account number, type, amount
6,w,93.68
3,d,142.91
20,d,176.58
20,w,79.24
8,d,136.75
11,d,194.18
16,w,94.03
19,d,122.31
7,w,70.22
20,d,50.46
19,w,101.86
15,d,18.85
2,w,73.14
5,w,80.91
19,d,61.31
20,w,91.55
16,w,105.86
10,d,188.76
20,d,131.24
7,w,64.30
11,w,125.96
13,d,83.68
20,w,61.39
15,d,148.32
7,w,38.26
16,d,132.99
18,w,157.62
12,w,37.87
11,w,57.46
10,d,29.83
3,w,147.42
20,d,144.14
16,d,112.08
4,w,128.58
14,w,112.63
5,d,29.85
2,d,68.43
9,w,100.59
2,w,171.23
1,d,106.02
2,w,142.69
10,w,86.35
18,d,169.18
5,d,84.80
18,d,80.53
16,w,126.44
11,w,71.04
2,w,82.38
9,w,146.95
1,d,62.44
19,w,123.23
6,d,62.75
8,d,116.63
20,w,97.71
6,d,152.60
5,d,92.61
12,w,130.82
6,d,154.68
2,d,115.77
14,d,85.22
12,d,110.69
10,d,122.83
14,d,114.95
13,w,97.27
3,w,102.08
17,w,125.87
5,w,204.85
17,d,117.00
18,d,145.77
9,w,208.97
12,w,70.81
4,w,83.01
10,w,123.57
4,d,112.54
1,w,10.30
14,d,123.78
12,d,71.20
1,w,61.56
2,d,160.70
10,w,121.80
7,w,97.98
16,w,78.60
15,w,76.40
10,d,125.23
19,w,54.30
15,w,181.49
16,d,121.20
16,d,19.78
14,w,58.76
6,w,-23.34
17,d,133.89
11,d,-26.91
1,d,141.40
7,w,98.04
4,w,42.14
3,w,67.19
11,d,127.66
13,d,86.26
14,d,14.35
6,w,81.94
16,w,98.87
5,d,120.90
8,d,145.97
19,w,38.64
10,d,91.31
3,w,88.83
1,d,114.79
9,d,76.02
15,w,0.65
11,d,102.19
16,w,144.76
10,w,121.45
13,w,4.32
1,d,172.71
11,w,138.64
16,w,26.33
9,d,67.78
8,w,53.76
7,w,86.89
6,d,56.70
19,d,130.34
8,w,70.29
4,w,57.17
2,d,109.12
10,d,160.42
12,w,139.13
1,w,92.08
17,w,162.83
2,w,165.00
11,w,108.65
4,w,114.73
8,w,72.18
10,w,86.31
10,w,170.09
12,d,76.75
5,w,147.92
17,w,93.88
13,w,70.27
17,w,138.11
10,w,28.11
1,d,162.23
10,d,107.62
14,w,171.98
14,w,107.72
4,w,86.45
17,w,62.74
8,w,106.39
14,d,188.84
3,w,177.73
7,d,5.19
3,d,117.23
5,w,54.30
11,w,71.17
11,w,122.08
4,w,115.28
1,w,28.98
16,w,195.76
8,w,91.24
11,d,172.45
7,w,111.08
18,d,83.74
19,d,8.43
3,w,25.99
3,d,146.23
11,d,17.79
12,d,44.08
13,d,65.28
3,d,85.99
8,w,94.81
11,w,162.62
13,d,59.60
7,d,158.75
12,w,107.90
1,d,131.36
16,d,72.52
9,d,135.37
10,d,127.95
3,d,176.72
3,w,66.96
15,w,91.99
14,d,182.88
1,w,-3.02
7,w,172.50
7,w,59.49
20,w,254.32
7,d,74.32
11,d,45.65
5,d,150.02
16,d,44.96
5,w,105.98
4,w,100.88
3,w,155.44
10,d,31.76
7,d,56.46
14,w,104.68
9,d,115.87
13,w,120.08
5,d,94.19
3,d,169.25
16,d,96.14
15,d,40.67
5,d,50.06
16,d,127.22
2,d,175.50
10,w,227.72
4,w,174.15
11,w,-15.73
10,d,121.25
2,w,81.63
16,w,125.43
20,d,-12.46
16,d,95.60
11,d,80.22
8,w,164.53
13,w,139.09
14,d,31.01
6,w,105.23
7,w,164.69
4,d,111.27
7,w,72.84
11,w,53.33
17,w,49.44
6,w,32.57
6,w,100.68
8,d,84.29
15,w,156.68
15,d,95.95
9,d,89.07
4,w,136.81
10,d,125.43
18,w,107.61
8,d,183.25
12,d,158.60
9,w,103.11
11,w,158.24
2,d,121.13
9,d,95.42
13,d,155.95
5,d,28.09
19,w,4.67
15,w,90.20
15,w,152.42
16,w,54.46
10,d,178.72
6,w,104.74
16,w,101.08
19,d,121.81
11,d,-32.91
2,w,105.59
18,d,99.96
9,w,99.49
15,w,143.25
14,w,188.41
4,d,131.45
3,w,106.57
11,w,145.75
7,w,179.99
19,w,-16.33
15,w,123.35
1,w,109.37
4,d,85.83
4,w,127.59
14,d,121.20
8,d,84.28
20,w,98.16
7,d,64.11
12,d,153.18
11,d,218.05
7,d,66.63
5,w,79.76
20,w,62.32
15,w,226.48
8,w,91.06
17,d,36.65
1,d,104.29
4,w,119.85
1,w,91.48
3,d,83.76
15,w,50.13
1,w,68.19
5,w,135.78
17,w,143.22
12,d,160.59
20,d,74.28
15,w,109.71
3,w,96.67
15,d,145.28
6,d,89.21
14,d,87.57
11,w,-6.71
10,d,126.44
15,d,96.56
6,d,112.99
1,w,97.06
1,d,63.59
2,d,162.58
18,w,69.04
16,d,35.24
3,w,-6.90
7,d,75.18
13,w,155.23
5,d,52.80
17,w,116.27
10,d,61.26
17,w,11.14
13,d,71.54
4,d,142.41
5,w,87.88
12,w,51.03
16,d,70.30
4,d,23.30
16,w,104.52
19,w,94.15
8,d,68.88
11,w,50.45
9,w,129.50
15,w,106.19
6,w,206.73
3,w,155.75
11,w,142.21
17,w,89.47
12,w,146.38
12,d,142.84
16,d,93.75
19,w,89.40
20,d,98.83
10,d,26.03
2,w,57.40
9,w,92.55
1,w,62.98
8,d,108.71
15,w,85.36
1,d,57.75
1,d,23.56
3,d,22.53
4,w,53.22
11,d,87.09
6,w,54.60
18,d,42.87
2,d,159.42
12,w,132.35
20,d,7.93
7,w,74.56
11,w,31.37
18,w,174.56
7,d,69.24
4,w,80.02
4,d,151.06
6,d,38.43
13,d,120.00
9,d,138.53
12,w,78.07
14,w,45.56
5,w,0.66
14,w,6.41
19,w,1.77
9,w,73.20
16,d,114.95
12,w,71.57
15,w,89.85
10,d,171.04
5,d,141.77
9,d,100.94
16,d,65.40
19,w,9.99
17,w,149.76
11,d,89.86
19,w,176.71
10,d,130.11
5,d,45.56
6,d,79.62
10,w,137.92
16,d,134.03
2,d,139.85
10,w,136.76
19,w,92.78
10,w,126.19
13,w,92.90
12,d,70.45
6,d,198.68
8,w,120.45
7,d,55.91
9,w,122.60
14,w,104.91
20,w,149.72
9,w,141.33
2,w,72.53
20,d,75.56
16,d,82.16
10,w,97.72
19,w,114.02
5,w,49.06
18,w,59.76
4,d,48.84
7,w,80.79
13,w,113.99
1,d,159.92
8,w,100.65
8,d,110.71
17,w,71.95
1,d,103.48
10,w,67.41
2,d,11.95
9,d,169.40
3,w,155.73
16,w,152.28
5,w,52.74
6,w,166.13
18,d,146.02
4,w,99.29
9,d,115.60
20,w,153.42
9,w,139.59
20,d,143.04
10,d,71.26
12,w,54.46
9,w,129.92
18,w,34.99
17,w,101.81
18,d,130.83
7,w,102.96
14,w,111.42
8,w,211.87
17,d,191.74
10,d,150.31
19,w,95.50
19,w,77.56
9,d,124.83
9,d,103.64
14,w,130.78
6,d,81.37
20,d,118.07
7,d,59.38
7,w,125.01
15,w,175.48
2,d,209.53
11,w,214.22
9,d,67.17
2,d,95.24
18,w,110.85
8,d,103.93
13,w,106.33
10,w,147.09
8,w,39.97
15,d,57.73
10,d,137.78
18,d,19.78
18,w,35.97
17,w,71.68
3,w,62.19
17,d,98.22
20,d,30.76
9,w,89.41
17,d,141.93
16,d,46.16
16,w,83.70
8,d,11.78
15,d,90.47
16,d,137.29
12,w,89.41
6,d,152.33
14,w,87.04
8,w,81.04
19,d,145.80
15,d,82.86
8,w,118.69
11,w,94.75
19,w,168.44
11,w,24.74
7,d,18.45
11,w,61.14
5,d,123.46
1,d,52.82
5,w,167.93
1,d,115.82
11,d,87.46
1,w,134.47
10,d,86.28
14,d,151.80
19,d,61.90
17,d,135.05
18,w,73.67
8,d,136.11
18,w,115.48
5,w,29.83
17,d,13.40
20,w,124.60
5,w,120.74
16,w,164.58
14,d,145.11
6,w,88.24
9,d,55.11
16,w,81.64
18,d,24.63
1,d,76.31
20,w,85.06
6,d,79.57
9,w,170.13
9,d,6.23
14,w,105.30
11,d,99.15
13,w,72.21
18,d,122.10
14,d,183.94
19,d,164.22
16,w,181.24
16,w,111.95
18,d,86.37
16,d,30.02
3,w,24.43
2,w,-80.44
7,d,200.17
13,d,147.35
19,w,112.40
11,w,130.85
15,w,101.12
2,d,111.09
6,w,175.65
14,w,101.07
16,d,217.75
5,d,40.07
17,w,93.38
9,w,112.80
12,d,128.72
2,d,199.45
14,w,79.81
2,w,143.84
13,w,160.84
10,w,230.77
19,w,112.40
15,d,145.60
1,w,178.93
2,w,191.16
1,d,44.45
10,d,117.61
3,d,121.35
6,d,172.11
11,w,52.42
10,d,129.23
5,d,91.19
15,w,152.77
3,w,55.70
10,d,40.55
13,d,203.92
3,w,80.46
12,w,167.59
19,d,120.09
5,w,100.97
11,d,102.72
9,d,62.38
17,w,101.36
19,d,69.56
16,d,174.97
10,w,54.91
11,d,105.53
15,d,154.12
5,d,87.15
19,d,113.19
2,d,89.88
15,w,115.21
14,d,87.61
1,d,61.00
13,d,111.87
10,w,67.13
9,w,149.01
12,d,24.27
11,d,60.06
20,d,97.65
10,d,111.55
17,w,146.80
18,w,112.71
20,w,117.09
9,d,43.05
14,w,118.66
17,w,162.03
15,d,-68.22
15,d,63.85
20,w,90.52
19,w,67.58
20,d,46.59
12,d,94.48
10,d,88.63
13,d,89.44
17,d,91.87
19,d,41.69
7,w,50.29
15,d,153.81
5,d,124.55
6,d,114.76
9,w,70.16
12,d,88.54
7,d,62.15
7,w,153.92
20,w,92.36
10,d,96.69
19,w,32.64
2,d,207.12
19,d,144.61
13,w,193.10
3,d,108.18
16,d,41.87
15,w,150.32
12,w,170.82
13,w,124.72
12,w,113.10
11,d,124.43
1,d,177.32
20,d,119.55
19,w,124.87
12,w,40.12
17,d,0.36
20,d,116.67
6,d,163.33
5,d,99.50
4,w,78.22
7,d,76.00
14,w,50.40
12,w,99.27
14,d,131.94
15,d,92.68
20,d,112.37
9,w,69.62
7,d,82.43
19,w,159.35
2,d,85.99
14,d,111.78
8,w,79.29
17,w,11.35
19,w,132.31
20,d,75.79
16,d,100.48
1,w,129.06
1,d,90.23
8,d,81.77
2,w,68.24
19,d,127.05
9,w,97.64
10,w,173.54
20,w,117.53
11,d,65.19
20,d,121.35
4,d,109.35
19,d,62.50
17,w,80.18
8,d,100.83
11,w,101.60
10,d,178.24
8,d,141.33
7,d,155.28
5,d,93.56
20,w,93.79
8,d,106.88
7,d,180.06
10,d,52.46
20,d,110.40
1,d,91.74
1,w,71.89
13,w,37.58
10,w,72.31
18,d,94.23
14,w,105.36
15,w,90.27
18,d,86.99
19,w,96.95
1,d,125.74
6,w,118.04
14,d,90.30
19,d,94.15
6,w,136.93
12,d,247.55
17,d,109.00
3,w,115.25
18,d,107.62
19,w,151.98
18,d,156.15
3,w,124.09
3,d,120.17
12,d,101.52
17,d,62.36
16,w,65.07
1,w,164.56
18,w,96.20
17,d,127.14
13,w,152.35
7,d,57.52
19,w,103.05
8,w,130.16
3,w,156.44
6,d,127.08
16,w,134.57
16,d,88.93
19,d,21.47
9,w,136.97
4,w,35.21
9,d,185.73
19,d,51.42
2,w,160.81
19,d,141.81
19,w,10.36
7,d,103.19
14,w,52.50
16,d,139.44
15,d,111.70
3,d,33.65
13,w,179.78
14,d,184.22
13,w,149.47
15,d,121.66
1,w,92.04
9,w,-6.30
2,d,65.64
4,w,35.10
9,d,113.81
19,d,146.47
4,w,104.18
2,w,153.82
7,d,83.02
13,d,79.69
1,d,117.25
11,w,69.93
10,d,177.15
7,w,53.70
13,w,82.03
7,d,23.01
17,w,70.49
3,d,187.40
8,w,124.35
13,d,69.25
7,w,47.30
2,d,26.22
11,w,137.03
11,w,47.19
1,d,142.97
5,w,95.78
4,d,115.84
10,d,145.72
5,w,83.36
19,w,97.36
5,w,43.85
2,w,47.82
12,d,144.60
14,w,97.36
11,d,86.12
1,w,77.53
2,w,182.24
12,w,132.15
4,w,61.93
11,w,100.44
19,w,171.91
11,w,177.34
12,w,105.26
1,w,46.18
14,d,104.02
13,w,138.29
15,w,130.84
7,d,99.66
10,d,198.86
1,d,64.81
14,w,76.32
12,w,124.85
13,d,33.39
8,w,148.44
10,w,69.08
7,d,138.00
11,d,146.09
5,w,-45.97
19,w,102.68
12,w,52.73
8,w,165.08
2,d,57.43
19,w,139.50
8,w,41.15
8,d,95.91
4,d,76.05
4,d,67.79
8,d,81.93
6,w,-46.37
16,d,102.55
7,d,99.71
2,w,103.72
20,d,116.57
10,d,118.83
9,d,124.38
12,d,-10.08
7,d,31.45
2,d,117.37
12,w,73.95
16,w,41.62
12,d,149.93
12,w,66.76
19,d,85.03
7,w,148.95
20,w,209.47
14,w,95.12
18,w,159.66
7,d,78.35
4,w,100.65
18,d,88.78
13,w,122.59
20,w,82.78
14,d,180.73
2,w,11.01
7,d,146.36
12,d,34.31
9,d,160.06
5,d,110.79
4,w,90.12
12,w,103.47
5,d,85.79
3,w,87.31
6,w,57.33
7,w,128.38
11,w,159.31
15,d,110.48
7,d,56.17
19,w,135.03
3,w,79.98
1,d,23.80
14,w,137.90
11,d,148.20
13,w,-15.31
1,d,82.60
10,d,105.93
1,w,30.92
19,w,125.35
1,d,125.56
7,d,98.32
16,w,214.36
8,w,30.30
6,w,88.29
11,d,181.43
12,w,-21.35
4,d,71.62
13,d,75.37
9,d,72.74
11,w,90.95
1,w,61.62
19,w,179.71
5,w,106.42
5,d,212.35
19,w,116.62
3,d,69.70
6,d,159.07
7,d,67.62
6,d,147.89
12,w,102.75
8,d,100.38
12,d,59.33
8,d,29.98
11,d,66.15
1,d,97.44
1,w,130.32
7,d,102.27
17,d,112.25
2,w,170.01
20,w,67.06
4,w,170.06
14,w,142.64
4,d,14.77
18,d,174.51
3,w,47.71
8,w,159.47
1,d,46.96
13,w,46.50
15,w,16.51
9,w,130.93
18,d,65.47
7,w,140.65
13,d,96.51
14,d,71.26
7,d,127.31
9,w,114.73
17,d,173.24
18,d,13.28
5,d,183.39
10,d,92.65
11,w,158.30
19,d,55.05
17,w,87.47
4,d,126.49
2,d,110.71
5,w,105.27
18,w,-2.75
11,w,26.17
17,d,143.11
13,d,84.64
16,w,193.24
4,d,90.43
6,d,178.01
11,d,151.71
9,d,95.15
3,d,23.83
2,d,144.70
3,d,55.12
12,d,184.96
9,d,95.66
18,w,150.18
19,w,110.93
20,w,85.52
7,w,63.27
13,d,123.01
12,d,48.62
17,d,116.65
14,d,81.61
7,w,112.89
18,w,128.91
18,d,78.34
5,d,97.37
5,d,104.24
4,w,45.49
11,d,54.00
11,w,120.04
5,d,104.38
1,d,90.93
9,w,82.82
7,d,80.34
3,d,147.33
2,d,69.47
3,w,1.10
14,w,89.94
12,d,106.09
16,d,90.26
19,w,47.38
16,w,76.02
8,w,61.48
18,w,91.54
13,d,101.48
10,d,53.36
7,d,21.42
7,w,107.74
20,d,127.31
3,w,69.70
18,w,36.56
7,d,109.12
11,w,149.79
6,d,66.02
12,w,71.47
12,w,93.26
14,d,94.24
10,d,59.53
3,d,169.07
12,w,46.50
12,d,99.08
7,d,60.24
17,w,94.87
13,d,-25.53
19,w,102.76
16,w,-19.47
8,w,140.29
17,w,92.72
14,d,119.94
1,d,136.33
8,d,53.35
2,w,65.45
7,d,181.76
14,w,25.16
9,d,48.65
8,w,132.66
6,d,78.41
7,w,34.04
17,w,102.59
17,d,107.20
5,d,167.82
17,w,127.84
15,w,100.01
7,w,20.73
15,w,57.99
19,d,183.23
6,d,187.03
4,d,150.82
3,w,116.36
4,w,134.70
18,d,94.08
19,w,80.58
9,d,75.50
12,d,81.25
4,w,174.25
2,w,152.41
13,d,115.42
8,w,100.72
1,w,94.42
11,w,105.24
6,w,102.94
9,w,48.13
2,w,108.67
14,d,106.11
16,w,76.80
13,d,82.33
8,d,64.33
13,w,52.38
14,w,110.03
13,w,49.33
11,d,7.97
7,d,106.46
18,d,108.71
16,w,82.90
6,d,52.06
18,w,135.50
17,d,41.80
2,w,108.57
17,w,109.95
6,d,3.77
7,w,88.98
13,d,155.45
7,w,62.25
12,d,163.57
13,w,108.12
2,d,119.11
9,w,152.61
18,w,55.15
12,d,90.82
20,w,71.35
3,d,128.88
10,d,98.07
17,d,142.11
7,d,77.25
7,w,121.11
8,w,98.90
5,w,91.55
2,w,164.54
10,w,92.63
3,w,133.96
6,w,129.23
5,w,122.19
17,w,52.70
13,w,210.05
8,w,77.11
7,w,73.21
15,d,124.68
14,w,85.21
5,w,97.47
1,d,116.44
5,w,117.02
3,d,87.33
9,w,122.17
10,w,70.38
18,w,114.47
10,d,129.14
17,w,89.80
19,d,78.45
6,d,40.84
15,w,116.86
1,w,114.04
12,w,82.87
12,w,46.30
1,w,102.84
18,w,42.59
7,w,51.07
8,w,68.76
18,d,146.13
20,d,103.26
20,w,69.67
3,d,83.42
12,d,93.59
4,d,132.92
16,d,124.18
20,w,129.91
11,w,50.33
16,w,137.21
7,d,73.55
15,d,119.61
5,d,89.07
9,w,98.69
18,w,39.82
15,w,46.81
9,w,70.60
7,d,111.18
9,d,116.92
8,d,92.80
9,d,99.30
11,w,78.20
16,d,95.75
11,d,119.39
13,w,96.60
